comment,clean_comment
23:37–23:42 - Did anyone notice Jethalal's expressions to Daya here 😂😂😂,did anyone notice jethalals expressions to daya here
26:10 26:10 26:11 26:11 26:11 26:11 26:11 26:19 26:20 26:20 26:20 26:20 26:20 26:21 26:23 26:23 26:23 26:23 26:23 26:24 26:24 26:24 26:24 26:24 26:25 26:25 26:25 26:25 26:25 26:26 26:26 26:26 26:26 26:26 26:27 26:27 26:27 26:27 26:27 26:28 26:28 26:28 26:28 26:28 26:29 26:29 26:29 26:29 26:29 26:30 26:30 26:30 26:30 26:31 26:31 26:31 26:31 26:32 26:32 26:32 26:32,
"Kya in sab gents ko kaam nahi hota jo har waqt ghar par hi hote hain. Aur jetha ko koi farq nahi pada 50,000 ke loss ka?",kya in sab gents ko kaam nahi hota jo har waqt ghar par hi hote hain aur jetha ko koi farq nahi pada ke loss ka
@12:48 Iyer: Climate b change hai. Scientist ko Climate aur Weather ki difference nhi pata 😂😂,iyer climate b change hai scientist ko climate aur weather ki difference nhi pata
,nan
,nan
Are ye sunder 1 lakh ka ghutaala krta pr baapuji kabhi kuch nhi bolte😅😂.ye 50k bhi waapas nhi lena chahiye 😅😂,are ye sunder lakh ka ghutaala krta pr baapuji kabhi kuch nhi bolteye k bhi waapas nhi lena chahiye
kon kon ye episode khate hue dekh reh hai,kon kon ye episode khate hue dekh reh hai
Kok Kok 4040 main dekh Raha hai,kok kok main dekh raha hai
Orat ka chakkar babu bhaiya 😂,orat ka chakkar babu bhaiya
9:39 baggha in backside 😂😂😂😂,baggha in backside
😂😂😂😂😂,
Kon kon ko old sodi acha lagta tha .,kon kon ko old sodi acha lagta tha
Bhai kon kon ye episode 2024 me dekh raha hai,bhai kon kon ye episode me dekh raha hai
Old is gold new episodes are boring,old is gold new episodes are boring
Aap gentes log 😂😂😂,aap gentes log
❤❤❤❤❤❤❤❤,
31:38 😂,
Daya jaise logo ki wajah se desh mei andhvishwas badhta hai. Upar se society wale bhi usko badhawa dete hai.,daya jaise logo ki wajah se desh mei andhvishwas badhta hai upar se society wale bhi usko badhawa dete hai
Legends know bagha is cheating on rukmani 😂😂,legends know bagha is cheating on rukmani
Is episode mein mahila mandali bhagha ko bj deti hain,is episode mein mahila mandali bhagha ko bj deti hain
First Sochi was first sodhi. Ye new ka maza bilkul nai,first sochi was first sodhi ye new ka maza bilkul nai
Magan is a character man😂 he has some funny vibe.,magan is a character man he has some funny vibe
2029me kon dekh rhahe😊,me kon dekh rhahe
1:34 😂😂😂😂😂😂,
Baga bawri ki wajha se pareshan h,baga bawri ki wajha se pareshan h
Payar ka toffaa,payar ka toffaa
38:47 sundar veera mahan hai kam se kam 50 lakh ka chuna to lagaya hoga,sundar veera mahan hai kam se kam lakh ka chuna to lagaya hoga
Ye shodi kitna pkau he,ye shodi kitna pkau he
Jethalal rack 😡😡😡😡😡😡 bagha sack,jethalal rack bagha sack
44:45,
Gajara balome bhide 😂😂,gajara balome bhide
Soda🥤 party ho jai free🆓,soda party ho jai free
This new sodi is too irritating,this new sodi is too irritating
😂😂😂😂😂😂,
😂😂,
"Esa naukar ho toh ,malik kiii .....",esa naukar ho toh malik kiii
Woo best of like love friend shipe woo yare best good very nice welldone love smile happy enjoye love smile,woo best of like love friend shipe woo yare best good very nice welldone love smile happy enjoye love smile
"Iloveyou,♥️♥️♥️♥️♥️♥️♥️💋💋💋💋💋💋💋",iloveyou
"in our Language, Baga means Gandu",in our language baga means gandu
Rat me kon school jata he 👀,rat me kon school jata he
58:19. 😂😂😂😂,
Bekaar episode 🤥🤥,bekaar episode
53:10 😅,
50:08 😂,
24:40  see the mobile screen..!,see the mobile screen
Ja dakba sa hasba ...arakom akta siriyal ...ohh ❤️ 😃😃😃🤣🤣🤣🤣🤣🤣,ja dakba sa hasba arakom akta siriyal ohh
❤❤❤,
Anjali looks very nice,anjali looks very nice
Kon kon khate time dekh rha he😅,kon kon khate time dekh rha he
ઈ ઐ ઓ આ અંગે😂ટકૂઈઆ🎉😂,
58:05 😂😂😂😂,
Garden me tapa a tap tapa tap pahele daya phir pure ladies 😢😢,garden me tapa a tap tapa tap pahele daya phir pure ladies
I love this sodhi no matter what you guys say... he has some of the greatest sodhi scenes ever.,i love this sodhi no matter what you guys say he has some of the greatest sodhi scenes ever
Are bhai 50k ka kya hua 😂😂,are bhai k ka kya hua
Bakwash,bakwash
59:24  Yar anjali mehta boht sunder hn Yar kisam ma indea awo ga only anjali mehta sa milna ke liy bsssss Jo pasi lg khrch kro ga ma,yar anjali mehta boht sunder hn yar kisam ma indea awo ga only anjali mehta sa milna ke liy bsssss jo pasi lg khrch kro ga ma
Old Sodhi bhai best they ye overacting buhut karta hai 😥,old sodhi bhai best they ye overacting buhut karta hai
37:31 Aare daya bhabhi garden mei mat jaw waha per Rohit Sharma ne jane se mana kia hai,aare daya bhabhi garden mei mat jaw waha per rohit sharma ne jane se mana kia hai
Masala shampoo 😂,masala shampoo
Dilip Joshi Aaye,dilip joshi aaye
"56:48 
Most funny thing 😂",most funny thing
54:59 koi doctor ko bulaooo😅,koi doctor ko bulaooo
50:18 ❤❤❤❤❤,
Ye baga daya bevkuf banane ka kam Karte Hain pagal banaa Re Sabko,ye baga daya bevkuf banane ka kam karte hain pagal banaa re sabko
Koi hazaribag jharkhand barhi se hai to like krooo,koi hazaribag jharkhand barhi se hai to like krooo
11:5,
9.5,
16:18 😂,
18:04 bagha ka pgar,bagha ka pgar
7:38 cute slap😂😂,cute slap
BHai wo jethalal ke 50k wapas aaye kya pta hoto comment kro,bhai wo jethalal ke k wapas aaye kya pta hoto comment kro
57:39 kabhi nhi😂😂,kabhi nhi
Bagha ka pyar =jethalal ko 53 hazar ka jatka 😅😅😅😂😂😂😂😂,bagha ka pyar jethalal ko hazar ka jatka
नजर उतारनी है या सब्जी बनानी है 😂😂😂😂😂,
07:52😂😂,
05:30 f,f
4:00😂,
Bilkul ye bakwash so hai,bilkul ye bakwash so hai
57:52  😂😂😂😂😂😂,
When iyer said babita ne bhook hartal kiya tha 😂,when iyer said babita ne bhook hartal kiya tha
Sath me katha b lagvana tha 😂😂😂,sath me katha b lagvana tha
Yeh babita ji itni hot 🥵 kyu hai,yeh babita ji itni hot kyu hai
Bagha ka pagar popatlal se jyada hai 😂,bagha ka pagar popatlal se jyada hai
Ye shodi bohat overacting karta hai,ye shodi bohat overacting karta hai
Jethalal - Galti se mistake ho gayi se 😅😅,jethalal galti se mistake ho gayi se
Nice,nice
Kya Tapleek Hai Aapko”❤😂,kya tapleek hai aapko
😂😂,
23:15,
😢😮😮😢😮😮😢😢😮😢😢🎉🎉,
😂😂😂😂😂,
intresting epi,intresting epi
Love ek good feeling toh hai but yeh akhand chutiyapa hai zindagi khatam is chakkar me,love ek good feeling toh hai but yeh akhand chutiyapa hai zindagi khatam is chakkar me
😂😂😂😂😂,
😂😂😂😂,
Mera haal BHI jetha LAL jaisa hogaya h,mera haal bhi jetha lal jaisa hogaya h
"ye society me kisko kaam dhanda nai hai,sab bc gharpe rehte hain,kuch v ho sab bhaage chale aate hain",ye society me kisko kaam dhanda nai haisab bc gharpe rehte hainkuch v ho sab bhaage chale aate hain
Yrr ye bhaga.. Nattu kaka.. Sundar aur daya jarurt se jada irritate krte hai.. Jethalal ko ...yrritna bhi irritating episode mt bnaya karo 🙏 real m.. Gussa aa jata h...,yrr ye bhaga nattu kaka sundar aur daya jarurt se jada irritate krte hai jethalal ko yrritna bhi irritating episode mt bnaya karo real m gussa aa jata h
Only one dollar $ the legend of bhagha 😂😀,only one dollar the legend of bhagha
Jethalaal be like : glti se mistake ho gyi 😂😂,jethalaal be like glti se mistake ho gyi
legend magan smiling 😂,legend magan smiling
Jb jetha bola ki daya chilla mt logo ko pta chal jaega pr jb hathi bhai ke pass gyi toh itna gala faad faad kr boli sbko pta chal gya 😂😂😂😂,jb jetha bola ki daya chilla mt logo ko pta chal jaega pr jb hathi bhai ke pass gyi toh itna gala faad faad kr boli sbko pta chal gya
Sometimes feels na daya bht nautanki karti thi,sometimes feels na daya bht nautanki karti thi
"03:08 Sallah
04:36 chale
05:43 Cry
05:54 😢😢
07:48 Magan Laugh Rocking
31:38 laugh",sallah chale cry magan laugh rocking laugh
😊😮😮🎉😂❤😂🎉😢😮😮😅😮😢😂❤🎉😢😮😅😊😮😢🎉❤😢😮😅😊😊😊😊,
44:18  What a propose style of bawri😂,what a propose style of bawri
Bagha overacting ki dukan😂,bagha overacting ki dukan
😁😁😁😁😁😁😁😁😁🤎🤎🤎,
Sala yeh bagha satia gaya,sala yeh bagha satia gaya
👍👍❤❤,
Aur cooker ka price add nahi kiya,aur cooker ka price add nahi kiya
3rd one please pin bro❤❤❤,rd one please pin bro
❤,
First view 🎉,first view
